event_id,record_id,split,event_start,max_R_obs,event_amplitude_cm,event_rain_7d_mm,displacement_increment_30d_cm,active_window
mid_P1_002_1997-11-25,mid_P1,train,1997-11-25,1.0,8.725,87.12,0.4,False
mid_P1_003_1998-01-11,mid_P1,train,1998-01-11,1.208548268238762,67.85,272.79,1.1,True
mid_P1_009_1999-01-15,mid_P1,train,1999-01-15,1.1402100061766525,80.94999999999999,246.63,1.0999999999999999,True
mid_P1_010_1999-03-01,mid_P1,train,1999-03-01,8.19230769230769,5.200000000000003,36.57999999999993,11.799999999999999,True
mid_P1_014_2000-01-12,mid_P1,train,2000-01-12,1.1821974965229487,107.85,103.12,1.2,True
mid_P1_015_2000-02-27,mid_P1,train,2000-02-27,1.0,15.924999999999983,97.27999999999997,1.0,True
mid_P1_016_2000-04-13,mid_P1,train,2000-04-13,1.4101748807631163,31.450000000000003,75.43999999999994,0.7,True
mid_P1_020_2001-02-13,mid_P1,train,2001-02-13,1.0,115.0,57.39999999999998,1.2,True
mid_P1_021_2001-04-07,mid_P1,train,2001-04-07,1.0,82.375,49.01999999999998,0.5,True
mid_P1_023_2001-12-29,mid_P1,train,2001-12-29,1.0,26.200000000000003,63.75,0.2,False
mid_P1_024_2002-02-17,mid_P1,train,2002-02-17,1.0,40.77499999999999,64.00999999999999,0.25,False
mid_P1_027_2002-11-07,mid_P1,train,2002-11-07,1.0,26.75,179.07,0.6000000000000001,True
mid_P1_028_2002-12-22,mid_P1,train,2002-12-22,1.0,143.8,50.55000000000001,0.0,False
mid_P1_029_2003-02-16,mid_P1,train,2003-02-16,1.0,32.35,36.569999999999936,0.19999999999999996,False
mid_P1_030_2003-04-02,mid_P1,train,2003-04-02,1.0502232142857142,89.6,30.979999999999905,3.6999999999999997,True
mid_P1_032_2003-12-24,mid_P1,train,2003-12-24,1.0,127.5,102.62,0.19999999999999996,False
mid_P1_033_2004-02-16,mid_P1,train,2004-02-16,1.0,53.499999999999986,660.15,0.8,True
mid_P1_034_2004-08-11,mid_P1,train,2004-08-11,1.0,5.95,785.37,0.0,False
mid_P1_038_2005-03-19,mid_P1,train,2005-03-19,1.0,45.32499999999999,168.4000000000001,71.80000000000001,True
mid_P1_039_2005-05-06,mid_P1,train,2005-05-06,1.0,41.474999999999994,74.17000000000007,141.5,True
mid_P1_040_2005-11-28,mid_P1,train,2005-11-28,5.391891891891891,25.9,155.19,0.6000000000000001,True
mid_P1_041_2006-01-14,mid_P1,train,2006-01-14,1.1951219512195135,14.349999999999966,92.96999999999991,0.3999999999999999,False
mid_P1_042_2006-02-28,mid_P1,train,2006-02-28,1.1345132743362836,14.125,159.25999999999988,72.39999999999999,True
mid_P1_043_2006-04-16,mid_P1,train,2006-04-16,1.0,12.25,68.06999999999994,52.19999999999999,True
mid_P1_047_2007-02-09,mid_P1,train,2007-02-09,1.2566560170394034,93.9,87.37,0.19999999999999996,False
mid_P1_048_2007-03-27,mid_P1,train,2007-03-27,1.3239436619718306,14.200000000000003,34.55000000000007,0.6,True
mid_P1_050_2008-01-04,mid_P1,train,2008-01-04,1.141945773524721,94.05,153.92000000000002,1.2,True
mid_P1_051_2008-02-22,mid_P1,train,2008-02-22,1.0,33.900000000000006,66.30000000000007,0.19999999999999996,False
mid_P1_055_2009-02-15,mid_P1,train,2009-02-15,1.1039518900343643,116.39999999999999,64.25999999999999,0.09999999999999998,False
mid_P1_059_2010-01-26,mid_P1,train,2010-01-26,1.0,82.89999999999999,4.819999999999993,0.20000000000000007,False
mid_P1_060_2010-03-12,mid_P1,train,2010-03-12,1.9127906976744171,17.200000000000017,38.870000000000005,0.4,False
mid_P1_061_2010-04-27,mid_P1,train,2010-04-27,1.5207956600361667,27.64999999999999,51.57000000000005,0.39999999999999997,False
mid_P1_063_2010-11-20,mid_P1,train,2010-11-20,1.99338721528288,68.05,108.45999999999998,-1.3,False
mid_P1_064_2011-01-30,mid_P1,test,2011-01-30,6.1320754716981,5.300000000000011,28.960000000000036,0.9000000000000001,True
mid_P1_065_2011-03-16,mid_P1,test,2011-03-16,1.0,10.899999999999991,159.51000000000022,61.699999999999996,True
mid_P1_066_2011-05-15,mid_P1,test,2011-05-15,1.0901502504173628,29.94999999999999,71.12000000000012,11.400000000000006,True
mid_P1_070_2012-01-20,mid_P1,test,2012-01-20,1.0,18.150000000000002,158.74999999999997,0.19999999999999996,False
mid_P1_071_2012-03-14,mid_P1,test,2012-03-14,1.213106796116505,103.0,161.53999999999996,0.9999999999999999,True
mid_P1_072_2012-04-28,mid_P1,test,2012-04-28,1.0,5.5,0.0,0.30000000000000004,False
mid_P1_074_2012-12-06,mid_P1,test,2012-12-06,2.834013605442177,36.75,18.28000000000003,2.5,True
mid_P1_076_2013-05-07,mid_P1,test,2013-05-07,1.0,5.4,14.480000000000018,0.5,True
mid_P1_081_2014-02-27,mid_P1,test,2014-02-27,3.046511627906977,17.2,92.44999999999999,0.20000000000000018,False
mid_P1_085_2015-02-06,mid_P1,test,2015-02-06,1.0,61.132000000000005,175.76999999999998,0.20500000000000007,False
mid_P1_089_2015-12-10,mid_P1,test,2015-12-10,4.984496124031008,12.9,83.82000000000002,1.1,True
mid_P1_090_2016-01-27,mid_P1,test,2016-01-27,1.0,83.05000000000001,710.11,2.1500000000000004,True
mid_P1_091_2016-03-12,mid_P1,test,2016-03-12,1.0,110.5,78.44999999999993,0.0,False
mid_P1_093_2016-11-28,mid_P1,test,2016-11-28,2.18796992481203,66.5,13.70999999999998,0.6,True
mid_P1_094_2017-01-12,mid_P1,test,2017-01-12,1.0931639443436176,123.97500000000001,76.26999999999998,0.5,True
mid_P1_095_2017-03-07,mid_P1,test,2017-03-07,1.4188034188034186,11.700000000000017,9.139999999999873,0.4,False
mid_P1_098_2018-03-01,mid_P1,test,2018-03-01,1.7948084054388131,80.9,82.03999999999996,0.6000000000000001,True
mid_P1_099_2018-04-17,mid_P1,test,2018-04-17,1.0,21.450000000000003,5.079999999999927,0.5,True
mid_P2_003_1998-01-11,mid_P2,train,1998-01-11,1.6631359939474182,132.175,272.79,1.1,True
mid_P2_004_1998-02-25,mid_P2,train,1998-02-25,1.2712328767123289,36.5,4.830000000000155,5.3,True
mid_P2_005_1998-04-12,mid_P2,train,1998-04-12,1.495495495495497,5.549999999999983,36.06000000000017,20.000000000000004,True
mid_P2_009_1999-01-15,mid_P2,train,1999-01-15,1.6478928712091374,126.94999999999999,246.63,1.0999999999999999,True
mid_P2_010_1999-03-01,mid_P2,train,1999-03-01,1.3577586206896555,23.200000000000017,36.57999999999993,11.799999999999999,True
mid_P2_011_1999-04-16,mid_P2,train,1999-04-16,1.0,9.499999999999972,1187.7,8.200000000000003,True
mid_P2_015_2000-02-27,mid_P2,train,2000-02-27,1.1221932114882505,95.75,97.27999999999997,1.0,True
mid_P2_016_2000-04-13,mid_P2,train,2000-04-13,1.0,8.050000000000011,75.43999999999994,0.7,True
mid_P2_021_2001-04-07,mid_P2,train,2001-04-07,1.3330501274426512,58.849999999999994,49.01999999999998,0.5,True
mid_P2_023_2001-12-29,mid_P2,train,2001-12-29,1.2461600646725948,123.70000000000002,63.75,0.2,False
mid_P2_024_2002-02-17,mid_P2,train,2002-02-17,1.8148148148148149,41.849999999999994,64.00999999999999,0.25,False
mid_P2_028_2002-12-22,mid_P2,train,2002-12-22,1.0249180327868854,152.5,50.55000000000001,0.0,False
mid_P2_029_2003-02-16,mid_P2,train,2003-02-16,1.4653284671532845,27.400000000000006,36.569999999999936,0.19999999999999996,False
mid_P2_030_2003-04-02,mid_P2,train,2003-04-02,1.1240834743372814,88.64999999999998,30.979999999999905,3.6999999999999997,True
mid_P2_032_2003-12-24,mid_P2,train,2003-12-24,1.6825396825396826,100.8,102.62,0.19999999999999996,False
mid_P2_033_2004-02-16,mid_P2,train,2004-02-16,1.0,109.39999999999998,660.15,0.8,True
mid_P2_037_2005-01-26,mid_P2,train,2005-01-26,1.3885567890691717,117.1,43.940000000000055,0.4,False
mid_P2_038_2005-03-19,mid_P2,train,2005-03-19,1.0,21.599999999999966,168.4000000000001,71.80000000000001,True
mid_P2_039_2005-05-06,mid_P2,train,2005-05-06,1.4285714285714306,7.699999999999989,74.17000000000007,141.5,True
mid_P2_041_2006-01-14,mid_P2,train,2006-01-14,1.1567552754179224,91.225,92.96999999999991,0.3999999999999999,False
mid_P2_042_2006-02-28,mid_P2,train,2006-02-28,1.0297176820208025,16.82499999999999,159.25999999999988,72.39999999999999,True
mid_P2_047_2007-02-09,mid_P2,train,2007-02-09,2.0204646017699117,90.39999999999999,87.37,0.19999999999999996,False
mid_P2_048_2007-03-27,mid_P2,train,2007-03-27,1.5889212827988333,17.150000000000006,34.55000000000007,0.6,True
mid_P2_051_2008-02-22,mid_P2,train,2008-02-22,1.1302648719062092,57.57500000000002,66.30000000000007,0.19999999999999996,False
mid_P2_056_2009-04-08,mid_P2,train,2009-04-08,5.152941176470604,8.499999999999972,31.24000000000001,0.2,False
mid_P2_059_2010-01-26,mid_P2,train,2010-01-26,3.7862595419847334,39.3,4.819999999999993,0.20000000000000007,False
mid_P2_060_2010-03-12,mid_P2,train,2010-03-12,1.7688804554079698,65.875,38.870000000000005,0.4,False
mid_P2_061_2010-04-27,mid_P2,train,2010-04-27,1.6903553299492402,19.69999999999999,51.57000000000005,0.39999999999999997,False
mid_P2_063_2010-11-20,mid_P2,train,2010-11-20,2.8665899942495687,86.95,108.45999999999998,-1.3,False
mid_P2_065_2011-03-16,mid_P2,test,2011-03-16,1.0,15.5,159.51000000000022,61.699999999999996,True
mid_P2_066_2011-05-15,mid_P2,test,2011-05-15,1.0,17.100000000000023,71.12000000000012,11.400000000000006,True
mid_P2_071_2012-03-14,mid_P2,test,2012-03-14,2.339066339066339,81.4,161.53999999999996,0.9999999999999999,True
mid_P2_072_2012-04-28,mid_P2,test,2012-04-28,1.0,20.850000000000023,0.0,0.30000000000000004,False
mid_P2_089_2015-12-10,mid_P2,test,2015-12-10,1.0,39.5,83.82000000000002,1.1,True
mid_P2_090_2016-01-27,mid_P2,test,2016-01-27,1.0,120.94999999999999,710.11,2.1500000000000004,True
mid_P2_091_2016-03-12,mid_P2,test,2016-03-12,1.0,141.575,78.44999999999993,0.0,False
mid_P2_093_2016-11-28,mid_P2,test,2016-11-28,3.4698630136986304,73.0,13.70999999999998,0.6,True
mid_P2_094_2017-01-12,mid_P2,test,2017-01-12,1.1569716088328077,198.125,76.26999999999998,0.5,True
mid_P2_098_2018-03-01,mid_P2,test,2018-03-01,1.6030674846625763,163.0,82.03999999999996,0.6000000000000001,True
mid_P2_099_2018-04-17,mid_P2,test,2018-04-17,1.0,42.875,5.079999999999927,0.5,True
mid_P4_041_2006-01-14,mid_P4,train,2006-01-14,1.3376063528077142,220.375,92.96999999999991,0.3999999999999999,False
mid_P4_042_2006-02-28,mid_P4,train,2006-02-28,1.2122905027932975,26.850000000000023,159.25999999999988,72.39999999999999,True
mid_P4_048_2007-03-27,mid_P4,train,2007-03-27,1.7076438140267929,63.44999999999999,34.55000000000007,0.6,True
mid_P4_051_2008-02-22,mid_P4,train,2008-02-22,3.032697547683924,18.349999999999998,66.30000000000007,0.19999999999999996,False
mid_P4_052_2008-05-25,mid_P4,train,2008-05-25,1.0,18.67500000000001,30.230000000000018,0.19999999999999998,False
mid_P4_053_2008-10-04,mid_P4,train,2008-10-04,1.0,16.799999999999997,20.07,1.4500000000000002,True
mid_P5_091_2016-03-12,mid_P5,test,2016-03-12,5.659163987138263,15.55,78.44999999999993,0.0,False
mid_P5_094_2017-01-12,mid_P5,test,2017-01-12,3.6606635071090046,52.75,76.26999999999998,0.5,True
mid_P5_095_2017-03-07,mid_P5,test,2017-03-07,3.026969481902058,35.224999999999994,9.139999999999873,0.4,False
mid_P5_099_2018-04-17,mid_P5,test,2018-04-17,1.042256588978436,114.775,5.079999999999927,0.5,True
mid_P6_072_2012-04-28,mid_P6,test,2012-04-28,1.070355441553683,68.225,0.0,0.30000000000000004,False
mid_P6_075_2013-03-07,mid_P6,test,2013-03-07,8.695035460992907,7.05,8.889999999999986,0.4,False
mid_P6_095_2017-03-07,mid_P6,test,2017-03-07,1.9043478260869566,126.5,9.139999999999873,0.4,False
