dataset,model_or_control,n_points,median_abs_error,spearman_Pi_response,coverage_5_95_envelope,physical_mae,skill_vs_physical
Mount Kaba-san,physical_double_drainage,900,0.47755041457799574,-0.40651664223576384,0.3611111111111111,0.47755041457799574,0.0
Mount Kaba-san,single_drainage_envelope,900,0.4942764427466002,-0.40651664223576384,0.3611111111111111,0.47755041457799574,-0.0350246333329749
Mount Kaba-san,constant_R_baseline,900,0.49487710481758107,-0.40651664223576384,0.3611111111111111,0.47755041457799574,-0.03628243157300304
Mount Kaba-san,shuffled_Pi_control,900,0.50776582500227,-0.40651664223576384,0.3611111111111111,0.47755041457799574,-0.0632716661987931
Mount Kaba-san,random_h_control,900,0.473638640565974,-0.40651664223576384,0.3611111111111111,0.47755041457799574,0.008191332040782595
Mount Kaba-san,velocity_only_proxy,900,0.4045495115381215,-0.40651664223576384,0.3611111111111111,0.47755041457799574,0.15286533277200487
Oso,physical_double_drainage,2902,0.04623436829335496,-0.9602565717115885,0.7756719503790489,0.04623436829335496,0.0
Oso,single_drainage_envelope,2902,0.32769469168674686,-0.9602565717115885,0.7756719503790489,0.04623436829335496,-6.087686147403138
Oso,constant_R_baseline,2902,0.1946246749079258,-0.9602565717115885,0.7756719503790489,0.04623436829335496,-3.2095238259348777
Oso,shuffled_Pi_control,2902,0.2671133189119577,-0.9602565717115885,0.7756719503790489,0.04623436829335496,-4.777375765515727
Oso,random_h_control,2902,0.15141248990368913,-0.9602565717115885,0.7756719503790489,0.04623436829335496,-2.2748904222716697
Oso,velocity_only_proxy,2902,0.5325484441835381,-0.9602565717115885,0.7756719503790489,0.04623436829335496,-10.518453995186924
USGS flume,physical_double_drainage,6270,0.3965480194422705,0.1186545928789764,0.3362041467304625,0.3965480194422705,0.0
USGS flume,single_drainage_envelope,6270,0.38724866552850545,0.1186545928789764,0.3362041467304625,0.3965480194422705,0.023450763735610725
USGS flume,constant_R_baseline,6270,0.3333124781866907,0.1186545928789764,0.3362041467304625,0.3965480194422705,0.15946502858473022
USGS flume,shuffled_Pi_control,6270,0.37198014644024885,0.1186545928789764,0.3362041467304625,0.3965480194422705,0.061954345495346175
USGS flume,random_h_control,6270,0.39256282310405227,0.1186545928789764,0.3362041467304625,0.3965480194422705,0.01004971943580324
USGS flume,velocity_only_proxy,6270,0.41752211007471546,0.1186545928789764,0.3362041467304625,0.3965480194422705,-0.052891679201787944
