case,B0,B1,R_threshold,Pi_at_threshold,status
undrained_boundary,0.0,0.0,0.9,,not_reached_in_Pi_grid
undrained_boundary,0.0,0.0,0.5,,not_reached_in_Pi_grid
undrained_boundary,0.0,0.0,0.1,,not_reached_in_Pi_grid
partial_B_0p3,0.3,0.3,0.9,0.36404165420756235,reached
partial_B_0p3,0.3,0.3,0.5,2.8868994294094907,reached
partial_B_0p3,0.3,0.3,0.1,,not_reached_in_Pi_grid
partial_B_1,1.0,1.0,0.9,0.12402955338330181,reached
partial_B_1,1.0,1.0,0.5,0.9053875795298242,reached
partial_B_1,1.0,1.0,0.1,6.083768247572081,reached
partial_B_10,10.0,10.0,0.9,0.01845810237309541,reached
partial_B_10,10.0,10.0,0.5,0.20386962214216423,reached
partial_B_10,10.0,10.0,0.1,1.3699056203942124,reached
double_drainage_limit,1000.0,1000.0,0.9,0.004515192378428235,reached
double_drainage_limit,1000.0,1000.0,0.5,0.11417051414861255,reached
double_drainage_limit,1000.0,1000.0,0.1,0.8334188315524842,reached
single_drainage_proxy,1000.0,0.0,0.9,0.01845810237309541,reached
single_drainage_proxy,1000.0,0.0,0.5,0.466728958928128,reached
single_drainage_proxy,1000.0,0.0,0.1,3.4070154321567037,reached
