boundary_case,source_history,Pi_total,chi_q,R_g
double_drainage_limit,early,0.01,0.12464108558827251,0.7910553890852814
double_drainage_limit,early,0.05,0.12464108558827251,0.5314041079505473
double_drainage_limit,early,0.1,0.12464108558827251,0.3463495777016694
double_drainage_limit,early,0.5,0.12464108558827251,0.014759328984557115
double_drainage_limit,early,1.0,0.12464108558827251,0.0010043444121433688
double_drainage_limit,uniform,0.01,0.5000000000000002,0.8507529969183466
double_drainage_limit,uniform,0.05,0.5000000000000002,0.6653175966958564
double_drainage_limit,uniform,0.1,0.5000000000000002,0.5289920391752735
double_drainage_limit,uniform,0.5,0.5000000000000002,0.1664964597372124
double_drainage_limit,uniform,1.0,0.5000000000000002,0.0839315049165277
double_drainage_limit,mid,0.01,0.5000000000000001,0.8430414670385419
double_drainage_limit,mid,0.05,0.5000000000000001,0.6476487581390458
double_drainage_limit,mid,0.1,0.5000000000000001,0.5020157148150817
double_drainage_limit,mid,0.5,0.5000000000000001,0.08276725259234606
double_drainage_limit,mid,1.0,0.5000000000000001,0.011934492296385978
double_drainage_limit,late,0.01,0.8753589144117275,0.9295751977063877
double_drainage_limit,late,0.05,0.8753589144117275,0.843417844075033
double_drainage_limit,late,0.1,0.8753589144117275,0.7783648977219012
double_drainage_limit,late,0.5,0.8753589144117275,0.5205183274996532
double_drainage_limit,late,1.0,0.8753589144117275,0.3744239893925738
partial_B_1,early,0.01,0.12464108558827251,0.9836544486281772
partial_B_1,early,0.05,0.12464108558827251,0.9246084390120672
partial_B_1,early,0.1,0.12464108558827251,0.8577190191963745
partial_B_1,early,0.5,0.12464108558827251,0.4744512307021959
partial_B_1,early,1.0,0.12464108558827251,0.22922902594317174
partial_B_1,uniform,0.01,0.5000000000000002,0.9905654015305334
partial_B_1,uniform,0.05,0.5000000000000002,0.9559729446854761
partial_B_1,uniform,0.1,0.5000000000000002,0.9161930805643427
partial_B_1,uniform,0.5,0.5000000000000002,0.6698370418828141
partial_B_1,uniform,1.0,0.5000000000000002,0.47752197435913946
partial_B_1,mid,0.01,0.5000000000000001,0.9905132343740158
partial_B_1,mid,0.05,0.5000000000000001,0.9554665986146076
partial_B_1,mid,0.1,0.5000000000000001,0.9148688150322644
partial_B_1,mid,0.5,0.5000000000000001,0.6531611350601433
partial_B_1,mid,1.0,0.5000000000000001,0.43301513199957314
partial_B_1,late,0.01,0.8753589144117275,0.997589732679863
partial_B_1,late,0.05,0.8753589144117275,0.9884412645904685
partial_B_1,late,0.1,0.8753589144117275,0.9775647957042843
partial_B_1,late,0.5,0.8753589144117275,0.900924131678954
partial_B_1,late,1.0,0.8753589144117275,0.8214219986003769
