Pi,retained_odd_terms,actual_error_vs_5000_terms,positive_tail_bound,bound_to_actual_ratio,monotonicity_basis
0.004417864395351714,5,0.003031485160313485,0.003038408975491476,1.0022839680261786,each positive modal term decreases with Pi; thresholds are unique
0.1126126505605754,5,0.00011919867573367826,0.00011919867585498632,1.0000000010176964,each positive modal term decreases with Pi; thresholds are unique
0.8331127832780032,5,1.6112198836792935e-05,1.611219885322733e-05,1.000000001019997,each positive modal term decreases with Pi; thresholds are unique
2.4,5,5.593032840672807e-06,5.593032846392032e-06,1.0000000010225623,each positive modal term decreases with Pi; thresholds are unique
0.004417864395351714,10,0.00038537077307709833,0.0003853707766077478,1.000000009161695,each positive modal term decreases with Pi; thresholds are unique
0.1126126505605754,10,1.5118335381092418e-05,1.511833550235645e-05,1.000000008020991,each positive modal term decreases with Pi; thresholds are unique
0.8331127832780032,10,2.043559831840791e-06,2.0435598482664167e-06,1.0000000080377514,each positive modal term decreases with Pi; thresholds are unique
2.4,10,7.093815913641888e-07,7.093815970768368e-07,1.0000000080529972,each positive modal term decreases with Pi; thresholds are unique
0.004417864395351714,20,4.835093087574016e-05,4.835093397391493e-05,1.000000064076838,each positive modal term decreases with Pi; thresholds are unique
0.1126126505605754,20,1.896837122317141e-06,1.8968372436137509e-06,1.0000000639467714,each positive modal term decreases with Pi; thresholds are unique
0.8331127832780032,20,2.563972853336649e-07,2.5639730174933717e-07,1.0000000640243607,each positive modal term decreases with Pi; thresholds are unique
2.4,20,8.900327332084235e-08,8.900327903556682e-08,1.0000000642080258,each positive modal term decreases with Pi; thresholds are unique
0.004417864395351714,50,3.097701692489352e-06,3.097704790597339e-06,1.00000100013116,each positive modal term decreases with Pi; thresholds are unique
0.1126126505605754,50,1.2152476625004738e-07,1.2152488759980837e-07,1.000000998559921,each positive modal term decreases with Pi; thresholds are unique
0.8331127832780032,50,1.6426618704157292e-08,1.6426635116369074e-08,1.0000009991229526,each positive modal term decreases with Pi; thresholds are unique
2.4,50,5.702177501010208e-09,5.702183209037676e-09,1.0000010010259182,each positive modal term decreases with Pi; thresholds are unique
0.004417864395351714,100,3.8726806872446673e-07,3.8727116696158594e-07,1.000008000239032,each positive modal term decreases with Pi; thresholds are unique
0.1126126505605754,100,1.5192767655047845e-08,1.5192888999141218e-08,1.0000079869643326,each positive modal term decreases with Pi; thresholds are unique
0.8331127832780032,100,2.053620898334607e-09,2.0536373156273872e-09,1.0000079943152085,each positive modal term decreases with Pi; thresholds are unique
2.4,100,7.128740792117227e-10,7.128797916107918e-10,1.0000080131950868,each positive modal term decreases with Pi; thresholds are unique
